time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050409:2010,0.0,0.0,0.0,0.0,0.0,12.56,2.69,0.0
20050409:2110,0.0,0.0,0.0,0.0,0.0,12.4,2.83,0.0
20050409:2210,0.0,0.0,0.0,0.0,0.0,12.36,2.83,0.0
20050409:2310,0.0,0.0,0.0,0.0,0.0,11.92,2.76,0.0
20050410:0010,0.0,0.0,0.0,0.0,0.0,11.8,2.69,0.0
20050410:0110,0.0,0.0,0.0,0.0,0.0,11.65,2.62,0.0
20050410:0210,0.0,0.0,0.0,0.0,0.0,11.99,2.48,0.0
20050410:0310,0.0,0.0,0.0,0.0,0.0,11.48,2.48,0.0
20050410:0410,0.0,0.0,0.0,0.0,0.0,11.17,2.48,0.0
20050410:0510,0.92,0.0,7.67,0.26,12.24,11.63,2.21,0.0
20050410:0610,55.65,0.0,79.31,2.72,22.41,12.72,1.93,0.0
20050410:0710,136.08,12.08,159.71,5.62,32.09,14.88,2.0,0.0
20050410:0810,255.6,53.27,254.64,9.61,40.69,15.37,2.28,0.0
20050410:0910,116.14,0.0,150.08,5.15,47.32,16.41,2.9,0.0
20050410:1010,89.51,0.0,120.24,4.13,50.82,17.45,2.76,0.0
20050410:1110,327.24,68.06,329.82,15.03,50.28,18.3,2.76,0.0
20050410:1210,218.01,4.86,265.22,9.64,45.86,18.92,2.76,0.0
20050410:1310,164.93,0.0,207.91,7.85,38.62,19.5,2.62,0.0
20050410:1410,105.73,0.0,139.64,5.27,29.67,19.37,2.55,0.0
20050410:1510,92.63,0.0,124.12,4.69,19.81,18.46,2.07,0.0
20050410:1610,11.81,0.0,25.6,0.97,9.6,17.34,1.93,0.0
20050410:1710,0.0,0.0,0.0,0.0,-0.57,15.54,2.28,0.0
20050410:1810,0.0,0.0,0.0,0.0,0.0,13.62,2.76,0.0
20050410:1910,0.0,0.0,0.0,0.0,0.0,12.13,2.48,0.0
20050410:2010,0.0,0.0,0.0,0.0,0.0,10.99,2.34,0.0
20050410:2110,0.0,0.0,0.0,0.0,0.0,10.03,2.28,0.0
20050410:2210,0.0,0.0,0.0,0.0,0.0,9.44,2.34,0.0
